isbn,title,author,genre,description,rating
9780553103540,A Game of Thrones,George R.R. Martin,Fantasy,"The first book in the epic fantasy series A Song of Ice and Fire. Follow the political intrigue and warfare in the Seven Kingdoms of Westeros.",4.4
9780547928227,The Hobbit,J.R.R. Tolkien,Fantasy,"A hobbit named Bilbo Baggins goes on an unexpected adventure with thirteen dwarves to reclaim their homeland from a dragon.",4.3
9780439708180,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,"A young wizard discovers his magical heritage and attends Hogwarts School of Witchcraft and Wizardry.",4.5
9780345339683,The Lord of the Rings,J.R.R. Tolkien,Fantasy,"The epic tale of the One Ring and the quest to destroy it in the fires of Mount Doom.",4.6
9780553381689,A Clash of Kings,George R.R. Martin,Fantasy,"The second book in A Song of Ice and Fire series. The War of Five Kings tears the land apart.",4.3
9780316769488,The Catcher in the Rye,J.D. Salinger,Literary Fiction,"A teenager's journey through New York City as he struggles with alienation and identity.",3.8
9780142437209,Of Mice and Men,John Steinbeck,Literary Fiction,"The story of two displaced migrant ranch workers during the Great Depression.",3.9
9780743273565,The Great Gatsby,F. Scott Fitzgerald,Literary Fiction,"A critique of the American Dream through the eyes of narrator Nick Carraway.",3.9
9780060935467,To Kill a Mockingbird,Harper Lee,Literary Fiction,"A story of racial injustice and childhood innocence in the American South.",4.3
9780451524935,1984,George Orwell,Dystopian Fiction,"A totalitarian society where Big Brother watches everything and controls thought.",4.2
9780553212419,Dune,Frank Herbert,Science Fiction,"A epic science fiction novel set on the desert planet Arrakis.",4.2
9780345391803,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Science Fiction,"A comedic science fiction series about the last surviving man after Earth's destruction.",4.2
9780441172719,Neuromancer,William Gibson,Science Fiction,"A cyberpunk novel about a washed-up computer hacker hired for one last job.",4.0
9780553293357,Foundation,Isaac Asimov,Science Fiction,"The first book in the Foundation series about the fall and rise of galactic civilization.",4.1
9780765311788,Mistborn: The Final Empire,Brandon Sanderson,Fantasy,"A thief attempts to overthrow an immortal emperor in a world of ash and magic.",4.4
9780765356130,The Way of Kings,Brandon Sanderson,Fantasy,"The first book in the Stormlight Archive series set on the storm-ravaged world of Roshar.",4.6
9780575081567,The Name of the Wind,Patrick Rothfuss,Fantasy,"The story of Kvothe as told by himself to a chronicler.",4.3
9780756404079,The Eye of the World,Robert Jordan,Fantasy,"The first book in The Wheel of Time series following Rand al'Thor and his friends.",4.2
9780812550702,Ender's Game,Orson Scott Card,Science Fiction,"A young boy is trained to fight in an interstellar war against an alien race.",4.3
9780441013593,Hyperion,Dan Simmons,Science Fiction,"Seven pilgrims journey to the mysterious world of Hyperion.",4.2
9780385490818,The Da Vinci Code,Dan Brown,Thriller,"A symbologist uncovers a conspiracy involving the Catholic Church and the Holy Grail.",3.8
9780307277671,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,"A journalist and a hacker investigate a wealthy family's dark secrets.",4.1
9780307387899,Gone Girl,Gillian Flynn,Psychological Thriller,"A man becomes the prime suspect when his wife disappears on their anniversary.",4.0
9780316015844,Twilight,Stephenie Meyer,Paranormal Romance,"A teenage girl falls in love with a vampire.",3.6
9780553418026,The Martian,Andy Weir,Science Fiction,"An astronaut stranded on Mars must use his ingenuity to survive.",4.4
9780062073488,Eleven Minutes,Paulo Coelho,Literary Fiction,"A young Brazilian girl's journey of self-discovery through love and sexuality.",3.7
9780061120084,The Alchemist,Paulo Coelho,Philosophical Fiction,"A young shepherd's journey to find treasure teaches him about following his dreams.",3.9
9780439139595,Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy,"Harry competes in the dangerous Triwizard Tournament.",4.6
9780439358071,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy,"Harry faces the return of Voldemort and forms Dumbledore's Army.",4.5
9780439784542,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy,"Harry learns about Voldemort's past while preparing for the final battle.",4.6
9780545010221,Harry Potter and the Deathly Hallows,J.K. Rowling,Fantasy,"The final book in the Harry Potter series.",4.6
9780312427948,The Kite Runner,Khaled Hosseini,Historical Fiction,"A story of friendship and redemption set against the backdrop of Afghanistan's tumultuous history.",4.3
9780316769174,Life of Pi,Yann Martel,Adventure Fiction,"A young man survives 227 days stranded on a lifeboat with a Bengal tiger.",3.9
9780439023528,The Hunger Games,Suzanne Collins,Dystopian Fiction,"A girl volunteers to take her sister's place in a televised fight to the death.",4.3
9780439023511,Catching Fire,Suzanne Collins,Dystopian Fiction,"Katniss becomes a symbol of rebellion against the Capitol.",4.3
9780439023481,Mockingjay,Suzanne Collins,Dystopian Fiction,"The final book in The Hunger Games trilogy.",4.1
9780062315007,The Alchemist,Paulo Coelho,Philosophical Fiction,"A shepherd boy's journey to find his personal legend.",3.9
9780141439518,Pride and Prejudice,Jane Austen,Romance,"The story of Elizabeth Bennet and her complex relationship with Mr. Darcy.",4.3
9780141439556,Jane Eyre,Charlotte Bronte,Gothic Romance,"An orphaned girl becomes a governess and falls in love with her brooding employer.",4.1
9780486284736,Wuthering Heights,Emily Bronte,Gothic Romance,"A tale of passionate and destructive love on the Yorkshire moors.",3.9
9780553213119,Brave New World,Aldous Huxley,Dystopian Fiction,"A society where people are genetically engineered and conditioned for their roles.",4.0

